;Allemagne;Autriche;Belgique;Bulgarie;Chypre;Croatie;Danemark;Espagne;Estonie;Finlande;France;Grèce;Hongrie;Irlande;Italie;Lettonie;Lituanie;Luxembourg;Malte;Pays-Bas;Pologne;Portugal;République tchèque;Roumanie;Royaume-Uni;Slovaquie;Slovénie;Suède;Total
2000;18,42;1,82  ;2,16  ;;;;1,37  ;5,53  ;;1,10  ;12,87  ;1,13  ;;0,88  ;9,52  ;;;0,16  ;;3,75  ;;1,07  ;;;10,68  ;;;2,24  ;72,70  
2001;16,58;1,86  ;2,28  ;;;;1,49  ;5,69  ;;1,11  ;12,96  ;1,17  ;;1,05  ;10,21  ;;;0,24  ;;3,77  ;;1,10  ;;;4,63  ;;;1,98  ;66,13  
2002;15,62;1,66  ;2,13  ;;;;1,51  ;5,97  ;;1,12  ;13,20  ;1,22  ;;0,93  ;10,41  ;;;0,17  ;;3,51  ;;1,10  ;;;8,09  ;;;1,85  ;68,48  
2003;16,92;1,77  ;2,32;;;;1,56  ;6,68  ;;1,26  ;14,11  ;1,38  ;;1,02  ;10,64  ;;;0,19  ;;3,64  ;;1,20  ;;;7,87  ;;;2,22  ;72,78  
2004;17,82;1,87  ;2,57  ;;0,08  ;;1,68  ;7,43  ;0,05  ;1,35  ;14,88  ;1,55  ;0,48  ;1,12  ;12,55  ;0,06  ;0,10  ;0,22  ;0,03  ;3,89  ;1,20  ;1,21  ;0,50  ;;9,38  ;0,20  ;0,16  ;2,37  ;82,75  
2005;17,41;1,96  ;2,65  ;;0,11  ;;1,69  ;8,38  ;0,08  ;1,35  ;15,52  ;1,60  ;0,72  ;1,26  ;12,20  ;0,11  ;0,17  ;0,21  ;0,04  ;4,46  ;2,06  ;1,42  ;0,84  ;;9,63  ;0,31  ;0,25  ;2,30  ;86,75  
2006;17,57;2,01  ;2,64  ;;0,12  ;;1,87  ;8,60  ;0,11  ;1,43  ;15,35  ;1,63  ;0,68  ;1,28  ;11,93  ;0,13  ;0,20  ;0,20  ;0,04  ;4,49  ;2,17  ;1,26  ;0,89  ;;9,83  ;0,35  ;0,24  ;2,30  ;87,32  
2007;18,58;2,02  ;2,69  ;0,23  ;0,12  ;;1,89  ;8,55  ;0,13  ;1,48  ;15,66  ;2,79  ;0,76  ;1,37  ;12,34  ;0,17  ;0,23  ;0,28  ;0,05  ;4,43  ;2,47  ;1,32  ;0,99  ;0,93  ;10,77  ;0,43  ;0,28  ;2,48  ;93,41  
2008;18,88;1,99  ;2,81  ;0,28  ;0,13  ;;1,96  ;8,78  ;0,13  ;1,54  ;16,46  ;2,10  ;0,83  ;1,38  ;13,50  ;0,19  ;0,27  ;0,24  ;0,05  ;4,64  ;3,02  ;1,33  ;1,19  ;1,02  ;7,61  ;0,48  ;0,32  ;2,77  ;93,89  
2009;17,6;2,19  ;3,24  ;0,34  ;0,17  ;;2,21  ;10,20  ;0,13  ;1,70  ;18,80  ;2,23  ;0,82  ;1,36  ;13,90  ;0,20  ;0,28  ;0,28  ;0,05  ;1,61  ;2,83  ;1,52  ;1,21  ;1,22  ;7,90  ;0,63  ;0,36  ;1,48  ;94,45  
