Année;Allemagne;Autriche;Belgique;Bulgarie;Chypre;Croatie;Danemark;Espagne;Estonie;Finlande;France;Grèce;Hongrie;Irlande;Italie;Lettonie;Lituanie;Luxembourg;Malte;Pays-Bas;Pologne;Portugal;République tchèque;Roumanie;Slovaquie;Slovénie;Suède
2007;18309;19413;17985;2171;16024;;24161;13966;5547;19794;18899;10800;4400;22995;15640;4740;4111;30917;10009;19522;4155;8143;6068;1952;4792;10893;20217
2008;18586;20469;19313;2828;16451;;25029;14795;6209;20962;19644;11496;4739;22445;15605;5355;4715;31764;10503;20156;5097;8282;7295;2172;5671;11864;20477
2009;18797;21058;19464;3017;16180;5810;25668;14605;5727;21349;19960;11963;4241;20512;15964;4488;4030;32333;10435;20292;4405;8678;7058;2036;6117;11736;18897
2010;19043;21463;20008;2914;16990;5579;26944;13929;5598;21826;19995;10985;4493;19726;15971;4195;3857;32538;10862;20310;5025;8410;7451;2091;6306;11999;21584
2011;19595;21807;20280;2860;16927;5377;27184;13868;5987;22699;20603;9513;4696;19648;15979;4450;4337;32779;11449;20562;5060;8323;7791;2049;6927;12122;23852
2012;19582;22073;21483;2924;15873;5078;27444;13524;6579;23272;20924;8371;4449;19856;15733;4666;4698;33301;12043;20839;5164;8177;7694;2016;6737;11852;25401
2013;19733;23211;21705;3311;14400;5225;27861;13269;7217;23702;21199;7680;4512;20171;15759;5203;4823;34320;12808;20891;5336;8229;7622;2155;6809;11909;25838
2014;20668;23260;21654;3332;13793;5453;28364;13352;7889;23763;21415;7520;4556;21629;15846;5828;5180;35270;13551;21292;5556;8435;7423;2315;6930;12332;25306
2015;21275;23694;22295;3151;14020;5726;28665;13681;8645;23650;21713;7500;4768;22544;16247;6365;5645;32841;13617;22733;5884;8782;7838;2448;6951;12327;25164
2016;21920;24752;22733;3590;14497;6210;29383;14203;9384;23987;21960;7600;4988;22879;16542;6607;6134;36315;14522;23561;5945;9071;8282;2742;7183;12713;25376
2017;22713;25176;23686;3590;15336;6659;30104;14785;10524;24544;22220;7863;5424;24920;16844;7333;6895;34472;14781;24016;6574;9346;9088;3284;7462;13244;25540
2018;23515;25729;24608;4224;16215;7306;30717;15015;11461;24879;22562;8195;5852;25528;17165;8187;7586;36354;15354;24612;7124;10023;9995;3851;8119;14067;24474
2019;26008;26555;25672;4612;16704;7892;30681;16043;12228;25490;22143;8781;6478;26758;18067;8827;8606;37844;16240;25801;8022;10800;10627;4267;8703;14774;24700
2020;24946;27428;25855;5157;16686;8061;32088;15892;12623;25456;22732;8752;6619;28130;17532;9437;9669;42482;17036;28441;8297;11089;10625;4830;8473;15415;25498
2021;25000;27844;27314;5378;17856;8760;33260;16814;14827;26541;23053;9520;6975;29060;18592;10258;10195;45310;18155;29537;8946;11014;12146;5512;8819;16544;26692
